CARRID;CONNID;AIRPFROM_COUNTRY;AIRPFROM_CITY;AIRPFROM_AIRPORT;AIRPTO_COUNTRY;AIRPTO_CITY;AIRPTO_AIRPORT;FLTIME;DEPTIME;ARRTIME;DISTANCE;DISTID;FLTYPE;PERIOD
AA;17;US;NEW YORK;JFK;US;SAN FRANCISCO;SFO;6:01;11:00:00;14:01:00;2572.000;MI;;0
AA;64;US;SAN FRANCISCO;SFO;US;NEW YORK;JFK;5:21;09:00:00;17:21:00;2572.000;MI;;0
AZ;555;IT;ROME;FCO;DE;FRANKFURT;FRA;2:05;19:00:00;21:05:00;845.000;MI;;0
AZ;788;IT;ROME;FCO;JP;TOKYO;TYO;12:55;12:00:00;08:55:00;6130.000;MI;;1
AZ;789;JP;TOKYO;TYO;IT;ROME;FCO;15:40;11:45:00;19:25:00;6130.000;MI;;0
AZ;790;IT;ROME;FCO;JP;OSAKA;KIX;13:35;10:35:00;08:10:00;6030.000;MI;X;1
DL;106;US;NEW YORK;JFK;DE;FRANKFURT;FRA;7:55;19:35:00;09:30:00;3851.000;MI;;1
DL;1699;US;NEW YORK;JFK;US;SAN FRANCISCO;SFO;6:22;17:15:00;20:37:00;2572.000;MI;;0
DL;1984;US;SAN FRANCISCO;SFO;US;NEW YORK;JFK;5:25;10:00:00;18:25:00;2572.000;MI;;0
JL;407;JP;TOKYO;NRT;DE;FRANKFURT;FRA;12:05;13:30:00;17:35:00;9100;KM;;0
JL;408;DE;FRANKFURT;FRA;JP;TOKYO;NRT;11:15;20:25:00;15:40:00;9100;KM;X;1
LH;400;DE;FRANKFURT;FRA;US;NEW YORK;JFK;7:24;10:10:00;11:34:00;6162;KM;;0
LH;401;US;NEW YORK;JFK;DE;FRANKFURT;FRA;7:15;18:30:00;07:45:00;6162;KM;;1
LH;402;DE;FRANKFURT;FRA;US;NEW YORK;JFK;7:35;13:30:00;15:05:00;6162;KM;X;0
LH;2402;DE;FRANKFURT;FRA;DE;BERLIN;SXF;1:05;10:30:00;11:35:00;555;KM;;0
LH;2407;DE;BERLIN;TXL;DE;FRANKFURT;FRA;1:05;07:10:00;08:15:00;555;KM;;0
QF;5;SG;SINGAPORE;SIN;DE;FRANKFURT;FRA;13:45;22:50:00;05:35:00;10000;KM;;1
QF;6;DE;FRANKFURT;FRA;SG;SINGAPORE;SIN;11:10;20:55:00;15:05:00;10000;KM;;1
SQ;2;SG;SINGAPORE;SIN;US;SAN FRANCISCO;SFO;18:25;17:00:00;19:25:00;8452.000;MI;;0
SQ;15;US;SAN FRANCISCO;SFO;SG;SINGAPORE;SIN;18:45;16:00:00;02:45:00;8452.000;MI;;2
SQ;158;SG;SINGAPORE;SIN;ID;JAKARTA;JKT;1:35;15:25:00;16:00:00;560.000;MI;;0
SQ;988;SG;SINGAPORE;SIN;JP;TOKYO;TYO;6:40;16:35:00;00:15:00;3125.000;MI;;1
UA;941;DE;FRANKFURT;FRA;US;SAN FRANCISCO;SFO;11:36;14:30:00;17:06:00;5685.000;MI;;0
UA;3504;US;SAN FRANCISCO;SFO;DE;FRANKFURT;FRA;10:30;15:00:00;10:30:00;5685.000;MI;;1
UA;3516;US;NEW YORK;JFK;DE;FRANKFURT;FRA;7:25;16:20:00;05:45:00;6162;KM;;1
UA;3517;DE;FRANKFURT;FRA;US;NEW YORK;JFK;8:15;10:40:00;12:55:00;6162;KM;;0
